Vowel,height,backness
aa1,1.241,0.575
aa1,1.275,0.525
aa1,1.315,0.647
aa1,1.315,0.575
aa1,1.315,0.475
aa1,1.352,0.625
aa1,1.352,0.525
aa1,1.401,0.647
aa1,1.401,0.575
aa1,1.401,0.475
aa1,1.448,0.575
aa1,1.448,0.525
aa1,1.448,0.475
aa1,1.501,0.475
ae1,1.401,0.881
ae1,1.448,1.102
ae1,1.448,1.053
ae1,1.448,1.001
ae1,1.448,0.965
ae1,1.448,0.925
ae1,1.448,0.881
ae1,1.448,0.848
ae1,1.501,1.102
ae1,1.501,1.053
ae1,1.501,0.802
ae1,1.501,0.751
ae1,1.525,1.001
ae1,1.562,1.102
ae1,1.562,0.925
ae1,1.562,0.848
ae1,1.562,0.751
ae1,1.562,0.702
ah1,1.315,0.925
ah1,1.315,0.881
ah1,1.352,0.848
ah1,1.352,0.802
ah1,1.352,0.751
ah1,1.352,0.702
ah1,1.425,0.791
ah1,1.491,0.703
ah1,1.501,0.647
ah1,1.501,0.525
ah1,1.562,0.647
ah1,1.562,0.575
ah1,1.562,0.525
eh1,1.199,1.175
eh1,1.238,1.151
eh1,1.238,1.225
eh1,1.275,1.001
eh1,1.275,1.102
eh1,1.275,1.053
eh1,1.315,0.965
eh1,1.352,0.925
eh1,1.364,1.019
eh1,1.401,1.151
eh1,1.342,1.149
eh1,1.365,1.081
eh1,1.401,0.948
ih1,1.448,1.175
ih1,1.501,1.175
ih1,0.525,2.025
ih1,0.525,1.749
ih1,0.599,1.675
ih1,0.599,1.918
ih1,0.675,1.825
ih1,0.675,1.625
ih1,0.775,1.577
ih1,0.775,1.731
ih1,0.875,1.625
ih1,1.051,1.502
ih1,1.051,1.398
ih1,1.051,1.325
ih1,1.111,1.571
ih1,1.125,1.325
ih1,1.125,1.246
ih1,1.163,1.367
ih1,1.199,1.246
ih1,1.275,1.398
ih1,1.275,1.325
ih1,1.315,1.175
ih1,1.352,1.325
ih1,1.352,1.246
ih1,1.448,1.246
iy1,1.448,1.325
iy1,1.562,1.175
iy1,0.675,2.025
iy1,0.675,1.951
iy1,0.775,1.875
iy1,0.785,1.981
iy1,0.875,1.951
iy1,0.875,1.875
iy1,0.901,1.749
iy1,0.989,1.681
iy1,1.051,1.749
iy1,1.051,1.625
iy1,1.076,1.661
iy1,1.175,1.502
iy1,1.199,1.625
iy1,1.199,1.541
iy1,1.281,1.455
iy1,1.352,1.502
iy1,1.448,1.398
iy1,1.501,1.325
iy1,1.562,1.246
uh1,1.051,1.102
uh1,1.051,1.001
uh1,1.051,0.925
uh1,1.051,0.848
uh1,1.051,0.702
uh1,1.051,0.647
uh1,1.051,0.521
uh1,1.125,1.175
uh1,1.125,1.053
uh1,1.125,0.925
uh1,1.125,0.802
uh1,1.125,0.702
uh1,1.125,0.575
uh1,1.187,0.987
uh1,1.199,1.102
uh1,1.199,1.053
uh1,1.199,0.925
uh1,1.199,0.802
uh1,1.199,0.702
uh1,1.199,0.647
uh1,1.238,0.615
uh1,1.275,0.848
uh1,1.275,0.746
uh1,1.275,0.647
uw1,0.599,1.551
uw1,0.675,1.502
uw1,0.675,1.398
uw1,0.775,1.451
uw1,0.775,1.283
uw1,0.825,1.163
uw1,0.875,1.502
uw1,0.875,1.398
uw1,0.875,1.246
uw1,0.875,0.965
uw1,0.949,1.451
uw1,0.949,1.289
uw1,0.949,1.102
uw1,0.949,1.001
uw1,0.949,0.848
uw1,0.949,0.702
uw1,1.051,1.246
uw1,1.051,1.175
