height,backness,F3,synthtalker_F0
1.241,0.575,2441.34674438573,232.919820889181
1.275,0.525,2389.60764231154,232.919820889181
1.315,0.647,2407.06422230211,232.919820889181
1.315,0.575,2373.0999886661,232.919820889181
1.315,0.475,2329.80604624625,232.919820889181
1.352,0.625,2364.51044713217,232.919820889181
1.352,0.525,2315.18853122668,232.919820889181
1.401,0.647,2335.83468703307,232.919820889181
1.401,0.575,2294.91262493342,232.919820889181
1.401,0.475,2242.74959310322,232.919820889181
1.448,0.575,2253.24372074494,232.919820889181
1.448,0.525,2223.66138067845,232.919820889181
1.448,0.475,2195.52178836162,232.919820889181
1.501,0.475,2142.98128675438,232.919820889181
1.401,0.881,2491.1393567613,232.919820889181
1.448,1.102,2674.10207198945,232.919820889181
1.448,1.053,2624.97202848105,232.919820889181
1.448,1.001,2575.40098925202,232.919820889181
1.448,0.965,2542.56177585024,232.919820889181
1.448,0.925,2507.43384678716,232.919820889181
1.448,0.881,2470.38190748298,232.919820889181
1.448,0.848,2443.64343808055,232.919820889181
1.501,1.102,2679.20792557836,232.919820889181
1.501,1.053,2624.16002871122,232.919820889181
1.501,0.802,2380.84429281584,232.919820889181
1.501,0.751,2338.44136865191,232.919820889181
1.525,1.001,2567.61648441162,232.919820889181
1.562,1.102,2694.89497504863,232.919820889181
1.562,0.925,2482.15340395075,232.919820889181
1.562,0.848,2400.72893475305,232.919820889181
1.562,0.751,2306.68835671766,232.919820889181
1.562,0.702,2262.54052921327,232.919820889181
1.315,0.925,2563.75356220702,232.919820889181
1.315,0.881,2535.96300737724,232.919820889181
1.352,0.848,2493.9902182246,232.919820889181
1.352,0.802,2464.86771250686,232.919820889181
1.352,0.751,2434.10769507323,232.919820889181
1.352,0.702,2405.99554010946,232.919820889181
1.425,0.791,2412.69176632375,232.919820889181
1.491,0.703,2306.95927960662,232.919820889181
1.501,0.647,2258.39349744393,232.919820889181
1.501,0.525,2174.51037293309,232.919820889181
1.562,0.647,2215.4965635249,232.919820889181
1.562,0.575,2157.69559739432,232.919820889181
1.562,0.525,2119.93558948125,232.919820889181
1.199,1.175,2770.30546837166,232.919820889181
1.238,1.151,2743.63527277264,232.919820889181
1.238,1.225,2796.17499490518,232.919820889181
1.275,1.001,2631.39949626452,232.919820889181
1.275,1.102,2699.2483173826,232.919820889181
1.275,1.053,2665.47548084348,232.919820889181
1.315,0.965,2590.10102625389,232.919820889181
1.352,0.925,2545.83914093096,232.919820889181
1.364,1.019,2611.13359534606,232.919820889181
1.401,1.151,2721.86858235947,232.919820889181
1.342,1.149,2722.41717205375,232.919820889181
1.365,1.081,2661.40276526906,232.919820889181
1.401,0.948,2542.72105259403,232.919820889181
1.448,1.175,2751.90910820918,232.919820889181
1.501,1.175,2766.38704042338,232.919820889181
0.525,2.025,3275.53833197269,232.919820889181
0.525,1.749,3199.54003804953,232.919820889181
0.599,1.675,3160.38602642683,232.919820889181
0.599,1.918,3233.68426494303,232.919820889181
0.675,1.825,3192.29545806932,232.919820889181
0.675,1.625,3124.85861094621,232.919820889181
0.775,1.577,3082.35882500891,232.919820889181
0.775,1.731,3143.61437092189,232.919820889181
0.875,1.625,3084.40873562964,232.919820889181
1.051,1.502,3003.0180190084,232.919820889181
1.051,1.398,2939.59823264696,232.919820889181
1.051,1.325,2898.86208494369,232.919820889181
1.111,1.571,3056.86850434444,232.919820889181
1.125,1.325,2882.83524605801,232.919820889181
1.125,1.246,2834.6423302311,232.919820889181
1.163,1.367,2907.03774735983,232.919820889181
1.199,1.246,2817.62814075712,232.919820889181
1.275,1.398,2942.53583601161,232.919820889181
1.275,1.325,2875.6880648651,232.919820889181
1.315,1.175,2747.12056767723,232.919820889181
1.352,1.325,2889.92941701384,232.919820889181
1.352,1.246,2810.64912394576,232.919820889181
1.448,1.246,2833.23303728857,232.919820889181
1.448,1.325,2930.77262023871,232.919820889181
1.562,1.175,2794.2107930923,232.919820889181
0.675,2.025,3274.6630091471,232.919820889181
0.675,1.951,3242.25189694478,232.919820889181
0.775,1.875,3210.08704634387,232.919820889181
0.785,1.981,3267.39419808888,232.919820889181
0.875,1.951,3272.08049521991,232.919820889181
0.875,1.875,3222.71030329686,232.919820889181
0.901,1.749,3150.23611243101,232.919820889181
0.989,1.681,3116.9556972019,232.919820889181
1.051,1.749,3182.91124076891,232.919820889181
1.051,1.625,3087.05433395361,232.919820889181
1.076,1.661,3119.87662026496,232.919820889181
1.175,1.502,3013.41056011577,232.919820889181
1.199,1.625,3135.80700832605,232.919820889181
1.199,1.541,3054.54241754392,232.919820889181
1.281,1.455,3000.4537396821,232.919820889181
1.352,1.502,3092.02413187645,232.919820889181
1.448,1.398,3028.01745488754,232.919820889181
1.501,1.325,2966.79517077259,232.919820889181
1.562,1.246,2898.01570503159,232.919820889181
1.051,1.102,2791.34203616867,232.919820889181
1.051,1.001,2749.99586185119,232.919820889181
1.051,0.925,2721.52422565153,232.919820889181
1.051,0.848,2694.80223552724,232.919820889181
1.051,0.702,2649.4513816069,232.919820889181
1.051,0.647,2634.01243065126,232.919820889181
1.051,0.521,2601.68624203663,232.919820889181
1.125,1.175,2794.46133754794,232.919820889181
1.125,1.053,2731.74353813128,232.919820889181
1.125,0.925,2673.66960008996,232.919820889181
1.125,0.802,2624.44867666228,232.919820889181
1.125,0.702,2588.66145213148,232.919820889181
1.125,0.575,2548.07788667606,232.919820889181
1.187,0.987,2666.44928648984,232.919820889181
1.199,1.102,2725.02928796583,232.919820889181
1.199,1.053,2696.44034766805,232.919820889181
1.199,0.925,2628.04447786629,232.919820889181
1.199,0.802,2570.07513767986,232.919820889181
1.199,0.702,2527.92717196357,232.919820889181
1.199,0.647,2506.48072849194,232.919820889181
1.238,0.615,2459.811778912,232.919820889181
1.275,0.848,2540.82709044634,232.919820889181
1.275,0.746,2487.70234877219,232.919820889181
1.275,0.647,2441.07138958844,232.919820889181
0.599,1.551,3129.30995489679,232.919820889181
0.675,1.502,3089.60659439804,232.919820889181
0.675,1.398,3063.00291288543,232.919820889181
0.775,1.451,3038.80240382218,232.919820889181
0.775,1.283,2988.64061691097,232.919820889181
0.825,1.163,2930.70747759867,232.919820889181
0.875,1.502,3028.05280421136,232.919820889181
0.875,1.398,2985.52260600981,232.919820889181
0.875,1.246,2930.80334071625,232.919820889181
0.875,0.965,2849.14733319822,232.919820889181
0.949,1.451,2987.72414155746,232.919820889181
0.949,1.289,2915.24032403339,232.919820889181
0.949,1.102,2844.94263197654,232.919820889181
0.949,1.001,2812.10026833114,232.919820889181
0.949,0.848,2768.25850602635,232.919820889181
0.949,0.702,2732.23511908263,232.919820889181
1.051,1.246,2858.00246630872,232.919820889181
1.051,1.175,2823.93563284911,232.919820889181
